,CH1,CH2
Second,Volt,Volt
-6.95987e-02,2.00e+00,-8.00e-02, 
-6.91987e-02,2.08e+00,-8.00e-02, 
-6.87987e-02,2.00e+00,-8.00e-02, 
-6.83987e-02,2.04e+00,0.00e+00, 
-6.79987e-02,2.08e+00,-8.00e-02, 
-6.75987e-02,1.96e+00,0.00e+00, 
-6.71987e-02,2.00e+00,-8.00e-02, 
-6.67987e-02,2.00e+00,0.00e+00, 
-6.63987e-02,1.96e+00,0.00e+00, 
-6.59987e-02,2.04e+00,0.00e+00, 
-6.55987e-02,2.04e+00,0.00e+00, 
-6.51987e-02,1.96e+00,0.00e+00, 
-6.47987e-02,2.00e+00,-8.00e-02, 
-6.43987e-02,2.04e+00,0.00e+00, 
-6.39987e-02,2.00e+00,0.00e+00, 
-6.35987e-02,1.96e+00,-8.00e-02, 
-6.31987e-02,2.04e+00,0.00e+00, 
-6.27987e-02,1.96e+00,-8.00e-02, 
-6.23987e-02,1.96e+00,0.00e+00, 
-6.19987e-02,2.04e+00,-8.00e-02, 
-6.15987e-02,2.04e+00,-8.00e-02, 
-6.11987e-02,1.96e+00,0.00e+00, 
-6.07987e-02,2.04e+00,-8.00e-02, 
-6.03987e-02,0.00e+00,4.88e+00, 
-5.99987e-02,0.00e+00,4.96e+00, 
-5.95987e-02,4.00e-02,5.04e+00, 
-5.91987e-02,4.00e-02,5.04e+00, 
-5.87987e-02,0.00e+00,5.04e+00, 
-5.83987e-02,0.00e+00,5.04e+00, 
-5.79987e-02,4.00e-02,4.96e+00, 
-5.75987e-02,0.00e+00,4.96e+00, 
-5.71987e-02,0.00e+00,5.12e+00, 
-5.67987e-02,4.00e-02,4.96e+00, 
-5.63987e-02,0.00e+00,5.04e+00, 
-5.59987e-02,0.00e+00,5.04e+00, 
-5.55987e-02,4.00e-02,4.96e+00, 
-5.51987e-02,0.00e+00,4.88e+00, 
-5.47987e-02,4.00e-02,4.96e+00, 
-5.43987e-02,0.00e+00,4.88e+00, 
-5.39987e-02,4.00e-02,4.80e+00, 
-5.35987e-02,0.00e+00,4.80e+00, 
-5.31987e-02,4.00e-02,4.80e+00, 
-5.27987e-02,0.00e+00,4.80e+00, 
-5.23987e-02,0.00e+00,4.72e+00, 
-5.19987e-02,4.00e-02,4.80e+00, 
-5.15987e-02,0.00e+00,4.64e+00, 
-5.11987e-02,0.00e+00,4.72e+00, 
-5.07987e-02,4.00e-02,-8.00e-02, 
-5.03987e-02,4.00e-02,-8.00e-02, 
-4.99987e-02,0.00e+00,-1.60e-01, 
-4.95987e-02,0.00e+00,-8.00e-02, 
-4.91987e-02,4.00e-02,-8.00e-02, 
-4.87987e-02,0.00e+00,-8.00e-02, 
-4.83987e-02,4.00e-02,-8.00e-02, 
-4.79987e-02,4.00e-02,-8.00e-02, 
-4.75987e-02,0.00e+00,0.00e+00, 
-4.71987e-02,0.00e+00,-8.00e-02, 
-4.67987e-02,4.00e-02,0.00e+00, 
-4.63987e-02,0.00e+00,-8.00e-02, 
-4.59987e-02,0.00e+00,0.00e+00, 
-4.55987e-02,0.00e+00,0.00e+00, 
-4.51987e-02,4.00e-02,-8.00e-02, 
-4.47987e-02,0.00e+00,0.00e+00, 
-4.43987e-02,4.00e-02,0.00e+00, 
-4.39987e-02,4.00e-02,-8.00e-02, 
-4.35987e-02,0.00e+00,0.00e+00, 
-4.31987e-02,0.00e+00,-8.00e-02, 
-4.27987e-02,4.00e-02,8.00e-02, 
-4.23987e-02,0.00e+00,0.00e+00, 
-4.19987e-02,4.00e-02,0.00e+00, 
-4.15987e-02,4.00e-02,0.00e+00, 
-4.11987e-02,0.00e+00,0.00e+00, 
-4.07987e-02,0.00e+00,-8.00e-02, 
-4.03987e-02,1.96e+00,4.88e+00, 
-3.99987e-02,2.00e+00,4.96e+00, 
-3.95987e-02,2.08e+00,5.04e+00, 
-3.91987e-02,2.00e+00,5.04e+00, 
-3.87987e-02,2.00e+00,5.12e+00, 
-3.83987e-02,2.00e+00,5.04e+00, 
-3.79987e-02,2.08e+00,5.04e+00, 
-3.75987e-02,2.00e+00,5.04e+00, 
-3.71987e-02,2.08e+00,5.04e+00, 
-3.67987e-02,2.00e+00,5.04e+00, 
-3.63987e-02,2.04e+00,4.96e+00, 
-3.59987e-02,2.00e+00,5.04e+00, 
-3.55987e-02,2.04e+00,4.88e+00, 
-3.51987e-02,2.00e+00,4.88e+00, 
-3.47987e-02,2.00e+00,4.96e+00, 
-3.43987e-02,2.04e+00,4.88e+00, 
-3.39987e-02,2.00e+00,4.80e+00, 
-3.35987e-02,2.00e+00,4.88e+00, 
-3.31987e-02,2.04e+00,4.80e+00, 
-3.27987e-02,2.00e+00,4.80e+00, 
-3.23987e-02,2.00e+00,4.72e+00, 
-3.19987e-02,2.00e+00,4.72e+00, 
-3.15987e-02,2.04e+00,4.64e+00, 
-3.11987e-02,1.96e+00,4.72e+00, 
-3.07987e-02,2.04e+00,-8.00e-02, 
