,CH1,CH2
Second,Volt,Volt
-5.40000e-07,4.00e-02,-8.00e-02, 
-5.20000e-07,0.00e+00,-8.00e-02, 
-5.00000e-07,4.00e-02,0.00e+00, 
-4.80000e-07,0.00e+00,0.00e+00, 
-4.60000e-07,4.00e-02,-8.00e-02, 
-4.40000e-07,0.00e+00,-8.00e-02, 
-4.20000e-07,4.00e-02,0.00e+00, 
-4.00000e-07,4.00e-02,0.00e+00, 
-3.80000e-07,0.00e+00,-8.00e-02, 
-3.60000e-07,0.00e+00,0.00e+00, 
-3.40000e-07,4.00e-02,-8.00e-02, 
-3.20000e-07,0.00e+00,0.00e+00, 
-3.00000e-07,4.00e-02,-8.00e-02, 
-2.80000e-07,4.00e-02,0.00e+00, 
-2.60000e-07,0.00e+00,-8.00e-02, 
-2.40000e-07,0.00e+00,-8.00e-02, 
-2.20000e-07,8.00e-02,8.00e-02, 
-2.00000e-07,0.00e+00,-8.00e-02, 
-1.80000e-07,4.00e-02,8.00e-02, 
-1.60000e-07,4.00e-02,0.00e+00, 
-1.40000e-07,0.00e+00,8.00e-02, 
-1.20000e-07,0.00e+00,1.60e-01, 
-1.00000e-07,4.00e-02,5.60e-01, 
-7.99999e-08,0.00e+00,7.20e-01, 
-6.00000e-08,4.00e-02,1.68e+00, 
-4.00000e-08,0.00e+00,1.92e+00, 
-2.00000e-08,4.00e-02,2.64e+00, 
-0.00000e+00,0.00e+00,2.80e+00, 
2.00000e-08,4.00e-02,3.36e+00, 
4.00000e-08,-4.00e-02,3.36e+00, 
6.00000e-08,4.00e-02,3.84e+00, 
7.99999e-08,0.00e+00,3.92e+00, 
1.00000e-07,4.00e-02,4.24e+00, 
1.20000e-07,0.00e+00,4.16e+00, 
1.40000e-07,4.00e-02,4.40e+00, 
1.60000e-07,0.00e+00,4.40e+00, 
1.80000e-07,4.00e-02,4.56e+00, 
2.00000e-07,4.00e-02,4.56e+00, 
2.20000e-07,0.00e+00,4.72e+00, 
2.40000e-07,0.00e+00,4.72e+00, 
2.60000e-07,4.00e-02,4.80e+00, 
2.80000e-07,0.00e+00,4.80e+00, 
3.00000e-07,4.00e-02,4.88e+00, 
3.20000e-07,0.00e+00,4.80e+00, 
3.40000e-07,4.00e-02,4.96e+00, 
3.60000e-07,0.00e+00,4.80e+00, 
3.80000e-07,4.00e-02,5.04e+00, 
4.00000e-07,4.00e-02,4.96e+00, 
4.20000e-07,0.00e+00,5.04e+00, 
4.40000e-07,4.00e-02,4.96e+00, 
4.60000e-07,0.00e+00,5.04e+00, 
4.80000e-07,0.00e+00,5.04e+00, 
5.00000e-07,4.00e-02,4.96e+00, 
5.20000e-07,4.00e-02,5.04e+00, 
5.40000e-07,-4.00e-02,4.96e+00, 
5.60000e-07,0.00e+00,4.96e+00, 
5.80000e-07,4.00e-02,5.12e+00, 
6.00000e-07,0.00e+00,5.12e+00, 
6.20000e-07,4.00e-02,4.96e+00, 
6.40000e-07,0.00e+00,5.12e+00, 
6.60000e-07,4.00e-02,4.96e+00, 
6.80000e-07,0.00e+00,4.96e+00, 
7.00000e-07,4.00e-02,5.12e+00, 
7.20000e-07,0.00e+00,4.96e+00, 
7.40000e-07,4.00e-02,5.12e+00, 
7.60000e-07,0.00e+00,4.96e+00, 
7.80000e-07,4.00e-02,5.04e+00, 
8.00000e-07,0.00e+00,5.12e+00, 
8.20000e-07,4.00e-02,4.96e+00, 
8.40000e-07,0.00e+00,5.04e+00, 
8.60000e-07,4.00e-02,5.04e+00, 
8.80000e-07,0.00e+00,5.12e+00, 
9.00000e-07,4.00e-02,4.96e+00, 
9.20000e-07,0.00e+00,4.96e+00, 
9.40000e-07,4.00e-02,5.12e+00, 
9.60000e-07,0.00e+00,4.96e+00, 
9.80000e-07,4.00e-02,5.12e+00, 
1.00000e-06,4.00e-02,5.04e+00, 
1.02000e-06,0.00e+00,5.12e+00, 
1.04000e-06,0.00e+00,5.04e+00, 
1.06000e-06,4.00e-02,5.12e+00, 
1.08000e-06,0.00e+00,5.12e+00, 
1.10000e-06,0.00e+00,4.96e+00, 
1.12000e-06,0.00e+00,5.12e+00, 
1.14000e-06,8.00e-02,4.96e+00, 
1.16000e-06,0.00e+00,5.04e+00, 
1.18000e-06,4.00e-02,4.96e+00, 
1.20000e-06,0.00e+00,4.96e+00, 
1.22000e-06,4.00e-02,5.12e+00, 
1.24000e-06,0.00e+00,4.96e+00, 
1.26000e-06,4.00e-02,5.12e+00, 
1.28000e-06,8.00e-02,5.04e+00, 
1.30000e-06,0.00e+00,4.96e+00, 
1.32000e-06,0.00e+00,5.04e+00, 
1.34000e-06,0.00e+00,4.96e+00, 
1.36000e-06,0.00e+00,5.04e+00, 
1.38000e-06,-4.00e-02,4.96e+00, 
1.40000e-06,0.00e+00,5.12e+00, 
1.42000e-06,4.00e-02,4.96e+00, 
1.44000e-06,0.00e+00,5.04e+00, 
1.46000e-06,0.00e+00,4.96e+00, 
1.48000e-06,0.00e+00,4.96e+00, 
1.50000e-06,0.00e+00,5.12e+00, 
1.52000e-06,0.00e+00,4.96e+00, 
1.54000e-06,4.00e-02,5.04e+00, 
1.56000e-06,0.00e+00,5.04e+00, 
1.58000e-06,4.00e-02,4.96e+00, 
1.60000e-06,4.00e-02,5.04e+00, 
1.62000e-06,0.00e+00,4.96e+00, 
1.64000e-06,0.00e+00,5.04e+00, 
1.66000e-06,4.00e-02,4.96e+00, 
1.68000e-06,0.00e+00,4.96e+00, 
1.70000e-06,4.00e-02,5.04e+00, 
1.72000e-06,4.00e-02,4.96e+00, 
1.74000e-06,0.00e+00,5.12e+00, 
1.76000e-06,-4.00e-02,4.96e+00, 
1.78000e-06,4.00e-02,5.04e+00, 
1.80000e-06,0.00e+00,5.04e+00, 
1.82000e-06,4.00e-02,4.96e+00, 
1.84000e-06,0.00e+00,4.96e+00, 
1.86000e-06,4.00e-02,5.04e+00, 
1.88000e-06,0.00e+00,4.96e+00, 
1.90000e-06,4.00e-02,5.12e+00, 
1.92000e-06,0.00e+00,4.96e+00, 
1.94000e-06,4.00e-02,5.04e+00, 
1.96000e-06,4.00e-02,5.04e+00, 
1.98000e-06,0.00e+00,4.96e+00, 
2.00000e-06,0.00e+00,4.96e+00, 
2.02000e-06,4.00e-02,5.04e+00, 
