,CH1,CH2
Second,Volt,Volt
-9.20000e-03,7.20e+01,1.76e+00, 
-9.00000e-03,8.40e+01,1.60e+00, 
-8.80000e-03,8.40e+01,1.60e+00, 
-8.60000e-03,1.00e+02,1.36e+00, 
-8.40000e-03,1.00e+02,1.36e+00, 
-8.20000e-03,1.12e+02,1.20e+00, 
-8.00000e-03,1.12e+02,1.28e+00, 
-7.80000e-03,1.28e+02,1.12e+00, 
-7.60000e-03,1.28e+02,1.12e+00, 
-7.40000e-03,1.36e+02,9.60e-01, 
-7.20000e-03,1.40e+02,8.80e-01, 
-7.00000e-03,1.48e+02,7.20e-01, 
-6.80000e-03,1.52e+02,7.20e-01, 
-6.60000e-03,1.56e+02,5.60e-01, 
-6.40000e-03,1.56e+02,6.40e-01, 
-6.20000e-03,1.60e+02,5.60e-01, 
-6.00000e-03,1.60e+02,7.20e-01, 
-5.80000e-03,1.56e+02,4.80e-01, 
-5.60000e-03,1.60e+02,6.40e-01, 
-5.40000e-03,1.56e+02,5.60e-01, 
-5.20000e-03,1.56e+02,6.40e-01, 
-5.00000e-03,1.60e+02,4.00e-01, 
-4.80000e-03,1.56e+02,4.80e-01, 
-4.60000e-03,1.60e+02,6.40e-01, 
-4.40000e-03,1.56e+02,5.60e-01, 
-4.20000e-03,1.60e+02,6.40e-01, 
-4.00000e-03,1.56e+02,5.60e-01, 
-3.80000e-03,1.40e+02,8.00e-01, 
-3.60000e-03,1.40e+02,8.00e-01, 
-3.40000e-03,1.20e+02,1.12e+00, 
-3.20000e-03,1.20e+02,1.04e+00, 
-3.00000e-03,1.08e+02,1.36e+00, 
-2.80000e-03,1.08e+02,1.20e+00, 
-2.60000e-03,9.60e+01,1.36e+00, 
-2.40000e-03,9.20e+01,1.36e+00, 
-2.20000e-03,8.00e+01,1.60e+00, 
-2.00000e-03,8.00e+01,1.60e+00, 
-1.80000e-03,6.00e+01,1.76e+00, 
-1.60000e-03,6.00e+01,1.76e+00, 
-1.40000e-03,4.40e+01,1.92e+00, 
-1.20000e-03,4.40e+01,1.92e+00, 
-1.00000e-03,2.80e+01,2.16e+00, 
-8.00000e-04,2.40e+01,2.24e+00, 
-6.00000e-04,0.00e+00,2.56e+00, 
-4.00000e-04,-4.00e+00,2.56e+00, 
-2.00000e-04,-2.80e+01,2.80e+00, 
0.00000e+00,-3.20e+01,2.88e+00, 
2.00000e-04,-4.80e+01,3.12e+00, 
4.00000e-04,-5.20e+01,3.12e+00, 
6.00000e-04,-6.40e+01,3.36e+00, 
8.00000e-04,-6.80e+01,3.36e+00, 
1.00000e-03,-8.00e+01,3.52e+00, 
1.20000e-03,-8.40e+01,3.52e+00, 
1.40000e-03,-9.60e+01,3.68e+00, 
1.60000e-03,-9.60e+01,3.68e+00, 
1.80000e-03,-1.08e+02,3.76e+00, 
2.00000e-03,-1.12e+02,3.76e+00, 
2.20000e-03,-1.20e+02,3.92e+00, 
2.40000e-03,-1.20e+02,3.92e+00, 
2.60000e-03,-1.32e+02,4.24e+00, 
2.80000e-03,-1.36e+02,4.24e+00, 
3.00000e-03,-1.44e+02,4.32e+00, 
3.20000e-03,-1.48e+02,4.24e+00, 
3.40000e-03,-1.56e+02,4.48e+00, 
3.60000e-03,-1.56e+02,4.56e+00, 
3.80000e-03,-1.60e+02,4.40e+00, 
4.00000e-03,-1.56e+02,4.56e+00, 
4.20000e-03,-1.60e+02,4.48e+00, 
4.40000e-03,-1.56e+02,4.56e+00, 
4.60000e-03,-1.56e+02,4.32e+00, 
4.80000e-03,-1.56e+02,4.40e+00, 
5.00000e-03,-1.60e+02,4.56e+00, 
5.20000e-03,-1.56e+02,4.56e+00, 
5.40000e-03,-1.52e+02,4.32e+00, 
5.60000e-03,-1.56e+02,4.24e+00, 
5.80000e-03,-1.52e+02,4.48e+00, 
6.00000e-03,-1.56e+02,4.56e+00, 
6.20000e-03,-1.36e+02,4.24e+00, 
6.40000e-03,-1.36e+02,4.24e+00, 
6.60000e-03,-1.16e+02,4.08e+00, 
6.80000e-03,-1.16e+02,4.00e+00, 
7.00000e-03,-1.04e+02,3.92e+00, 
7.20000e-03,-1.04e+02,3.92e+00, 
7.40000e-03,-8.80e+01,3.68e+00, 
7.60000e-03,-8.80e+01,3.68e+00, 
7.80000e-03,-7.20e+01,3.52e+00, 
8.00000e-03,-7.20e+01,3.52e+00, 
8.20000e-03,-6.00e+01,3.28e+00, 
8.40000e-03,-5.60e+01,3.28e+00, 
8.60000e-03,-4.40e+01,3.12e+00, 
8.80000e-03,-4.00e+01,3.12e+00, 
9.00000e-03,-2.40e+01,2.96e+00, 
9.20000e-03,-2.00e+01,2.88e+00, 
9.40000e-03,0.00e+00,2.64e+00, 
9.60000e-03,4.00e+00,2.64e+00, 
9.80000e-03,2.80e+01,2.32e+00, 
1.00000e-02,3.20e+01,2.32e+00, 
1.02000e-02,5.20e+01,1.92e+00, 
1.04000e-02,5.60e+01,1.92e+00, 
1.06000e-02,6.80e+01,1.76e+00, 
1.08000e-02,7.20e+01,1.68e+00, 
1.10000e-02,8.40e+01,1.52e+00, 
1.12000e-02,8.40e+01,1.60e+00, 
1.14000e-02,1.00e+02,1.36e+00, 
1.16000e-02,1.00e+02,1.36e+00, 
1.18000e-02,1.12e+02,1.28e+00, 
1.20000e-02,1.12e+02,1.28e+00, 
1.22000e-02,1.24e+02,1.12e+00, 
1.24000e-02,1.28e+02,1.12e+00, 
1.26000e-02,1.36e+02,8.80e-01, 
1.28000e-02,1.36e+02,9.60e-01, 
1.30000e-02,1.48e+02,8.00e-01, 
1.32000e-02,1.48e+02,7.20e-01, 
1.34000e-02,1.56e+02,5.60e-01, 
1.36000e-02,1.56e+02,5.60e-01, 
1.38000e-02,1.60e+02,7.20e-01, 
1.40000e-02,1.60e+02,5.60e-01, 
1.42000e-02,1.56e+02,7.20e-01, 
1.44000e-02,1.60e+02,7.20e-01, 
1.46000e-02,1.56e+02,5.60e-01, 
1.48000e-02,1.60e+02,5.60e-01, 
1.50000e-02,1.56e+02,7.20e-01, 
1.52000e-02,1.56e+02,5.60e-01, 
1.54000e-02,1.60e+02,8.00e-01, 
1.56000e-02,1.56e+02,6.40e-01, 
1.58000e-02,1.60e+02,5.60e-01, 
1.60000e-02,1.56e+02,5.60e-01, 
1.62000e-02,1.40e+02,8.80e-01, 
1.64000e-02,1.40e+02,8.00e-01, 
1.66000e-02,1.24e+02,1.04e+00, 
1.68000e-02,1.20e+02,1.04e+00, 
1.70000e-02,1.12e+02,1.20e+00, 
1.72000e-02,1.08e+02,1.20e+00, 
1.74000e-02,9.60e+01,1.36e+00, 
1.76000e-02,9.60e+01,1.36e+00, 
1.78000e-02,8.40e+01,1.52e+00, 
1.80000e-02,8.00e+01,1.52e+00, 
1.82000e-02,6.00e+01,1.68e+00, 
1.84000e-02,6.00e+01,1.76e+00, 
1.86000e-02,4.40e+01,1.92e+00, 
1.88000e-02,4.40e+01,1.92e+00, 
1.90000e-02,2.80e+01,2.16e+00, 
1.92000e-02,2.40e+01,2.16e+00, 
1.94000e-02,0.00e+00,2.48e+00, 
1.96000e-02,0.00e+00,2.48e+00, 
1.98000e-02,-2.80e+01,2.88e+00, 
2.00000e-02,-2.80e+01,2.88e+00, 
