,CH1,CH2
Second,Volt,Volt
-2.07000e-02,2.00e+00,4.96e+00, 
-2.06000e-02,2.00e+00,5.04e+00, 
-2.05000e-02,2.04e+00,5.12e+00, 
-2.04000e-02,2.00e+00,5.04e+00, 
-2.03000e-02,1.96e+00,5.04e+00, 
-2.02000e-02,2.00e+00,5.12e+00, 
-2.01000e-02,0.00e+00,-8.00e-02, 
-2.00000e-02,0.00e+00,-8.00e-02, 
-1.99000e-02,0.00e+00,-8.00e-02, 
-1.98000e-02,0.00e+00,-8.00e-02, 
-1.97000e-02,4.00e-02,-8.00e-02, 
-1.96000e-02,0.00e+00,-8.00e-02, 
-1.95000e-02,4.00e-02,-8.00e-02, 
-1.94000e-02,0.00e+00,-8.00e-02, 
-1.93000e-02,4.00e-02,-8.00e-02, 
-1.92000e-02,0.00e+00,-8.00e-02, 
-1.91000e-02,4.00e-02,-8.00e-02, 
-1.90000e-02,0.00e+00,-8.00e-02, 
-1.89000e-02,8.00e-02,-8.00e-02, 
-1.88000e-02,0.00e+00,-8.00e-02, 
-1.87000e-02,0.00e+00,-8.00e-02, 
-1.86000e-02,0.00e+00,-8.00e-02, 
-1.85000e-02,0.00e+00,-8.00e-02, 
-1.84000e-02,-4.00e-02,-1.60e-01, 
-1.83000e-02,0.00e+00,-8.00e-02, 
-1.82000e-02,0.00e+00,-8.00e-02, 
-1.81000e-02,4.00e-02,-8.00e-02, 
-1.80000e-02,0.00e+00,-8.00e-02, 
-1.79000e-02,4.00e-02,-8.00e-02, 
-1.78000e-02,0.00e+00,-8.00e-02, 
-1.77000e-02,8.00e-02,-8.00e-02, 
-1.76000e-02,0.00e+00,-8.00e-02, 
-1.75000e-02,4.00e-02,-8.00e-02, 
-1.74000e-02,0.00e+00,-8.00e-02, 
-1.73000e-02,-4.00e-02,-8.00e-02, 
-1.72000e-02,0.00e+00,-8.00e-02, 
-1.71000e-02,0.00e+00,-8.00e-02, 
-1.70000e-02,0.00e+00,-8.00e-02, 
-1.69000e-02,0.00e+00,-8.00e-02, 
-1.68000e-02,0.00e+00,-8.00e-02, 
-1.67000e-02,0.00e+00,-8.00e-02, 
-1.66000e-02,0.00e+00,-8.00e-02, 
-1.65000e-02,4.00e-02,-8.00e-02, 
-1.64000e-02,0.00e+00,-8.00e-02, 
-1.63000e-02,4.00e-02,0.00e+00, 
-1.62000e-02,0.00e+00,-8.00e-02, 
-1.61000e-02,4.00e-02,-8.00e-02, 
-1.60000e-02,0.00e+00,-8.00e-02, 
-1.59000e-02,0.00e+00,0.00e+00, 
-1.58000e-02,0.00e+00,-8.00e-02, 
-1.57000e-02,-4.00e-02,0.00e+00, 
-1.56000e-02,0.00e+00,-8.00e-02, 
-1.55000e-02,0.00e+00,0.00e+00, 
-1.54000e-02,0.00e+00,-8.00e-02, 
-1.53000e-02,4.00e-02,0.00e+00, 
-1.52000e-02,0.00e+00,-8.00e-02, 
-1.51000e-02,8.00e-02,0.00e+00, 
-1.50000e-02,4.00e-02,-8.00e-02, 
-1.49000e-02,4.00e-02,0.00e+00, 
-1.48000e-02,4.00e-02,-8.00e-02, 
-1.47000e-02,0.00e+00,0.00e+00, 
-1.46000e-02,0.00e+00,-8.00e-02, 
-1.45000e-02,0.00e+00,0.00e+00, 
-1.44000e-02,0.00e+00,0.00e+00, 
-1.43000e-02,0.00e+00,-8.00e-02, 
-1.42000e-02,0.00e+00,-8.00e-02, 
-1.41000e-02,4.00e-02,0.00e+00, 
-1.40000e-02,0.00e+00,-8.00e-02, 
-1.39000e-02,4.00e-02,-8.00e-02, 
-1.38000e-02,4.00e-02,-8.00e-02, 
-1.37000e-02,0.00e+00,0.00e+00, 
-1.36000e-02,0.00e+00,0.00e+00, 
-1.35000e-02,4.00e-02,-8.00e-02, 
-1.34000e-02,0.00e+00,0.00e+00, 
-1.33000e-02,0.00e+00,-8.00e-02, 
-1.32000e-02,0.00e+00,-8.00e-02, 
-1.31000e-02,0.00e+00,0.00e+00, 
-1.30000e-02,0.00e+00,0.00e+00, 
